date,n1,n2,n3,n4,n5,n6,n7
2021-07-20,2131519383946,131519383946,1519383946,19383946,383946,3946,46
2021-07-23,781321353845,81321353845,1321353845,21353845,353845,3845,45
2021-07-27,5121332364048,121332364048,1332364048,32364048,364048,4048,48
2021-07-30,4121819222544,121819222544,1819222544,19222544,222544,2544,44
2021-08-03,45915243648,5915243648,915243648,15243648,243648,3648,48
2021-08-06,14152443444849,152443444849,2443444849,43444849,444849,4849,49
2021-08-10,14181932353841,181932353841,1932353841,32353841,353841,3841,41
2021-08-13,1141720283238,141720283238,1720283238,20283238,283238,3238,38
2021-08-17,5161833373839,161833373839,1833373839,33373839,373839,3839,39
2021-08-20,262131343945,62131343945,2131343945,31343945,343945,3945,45
2021-08-24,1242629304550,242629304550,2629304550,29304550,304550,4550,50
2021-08-27,9101325414749,101325414749,1325414749,25414749,414749,4749,49
2021-08-31,3112326314250,112326314250,2326314250,26314250,314250,4250,50
2021-09-03,12410273345,2410273345,410273345,10273345,273345,3345,45
2021-09-07,583136414243,83136414243,3136414243,36414243,414243,4243,43
2021-09-10,11283840434548,283840434548,3840434548,40434548,434548,4548,48
2021-09-14,17242733384148,242733384148,2733384148,33384148,384148,4148,48
2021-09-17,361026293545,61026293545,1026293545,26293545,293545,3545,45
2021-09-21,481114153445,81114153445,1114153445,14153445,153445,3445,45
2021-09-24,5132835414950,132835414950,2835414950,35414950,414950,4950,50
2021-09-28,25818233135,5818233135,818233135,18233135,233135,3135,35
2021-10-01,481539404248,81539404248,1539404248,39404248,404248,4248,48
2021-10-05,2101819254248,101819254248,1819254248,19254248,254248,4248,48
2021-10-08,5161921233136,161921233136,1921233136,21233136,233136,3136,36
2021-10-12,7111330384043,111330384043,1330384043,30384043,384043,4043,43
2021-10-15,14172024253848,172024253848,2024253848,24253848,253848,3848,48
2021-10-19,12262832414350,262832414350,2832414350,32414350,414350,4350,50
2021-10-22,2111933444547,111933444547,1933444547,33444547,444547,4547,47
2021-10-26,281014213640,81014213640,1014213640,14213640,213640,3640,40
2021-10-29,151718384148,51718384148,1718384148,18384148,384148,4148,48
2021-11-02,7131830333741,131830333741,1830333741,30333741,333741,3741,41
2021-11-05,2101117193242,101117193242,1117193242,17193242,193242,3242,42
2021-11-09,281617192642,81617192642,1617192642,17192642,192642,2642,42
2021-11-12,46710172744,6710172744,710172744,10172744,172744,2744,44
2021-11-16,56717262942,6717262942,717262942,17262942,262942,2942,42
2021-11-19,1131417252841,131417252841,1417252841,17252841,252841,2841,41
2021-11-23,14172527313234,172527313234,2527313234,27313234,313234,3234,34
2021-11-26,9263035374250,263035374250,3035374250,35374250,374250,4250,50
2021-11-30,47822243049,7822243049,822243049,22243049,243049,3049,49
2021-12-03,7182235374345,182235374345,2235374345,35374345,374345,4345,45
2021-12-07,9161924273440,161924273440,1924273440,24273440,273440,3440,40
2021-12-10,17212732454649,212732454649,2732454649,32454649,454649,4649,49
2021-12-14,3212226284449,212226284449,2226284449,26284449,284449,4449,49
2021-12-17,9141633394649,141633394649,1633394649,33394649,394649,4649,49
2021-12-21,13232627283847,232627283847,2627283847,27283847,283847,3847,47
2021-12-24,3112425293242,112425293242,2425293242,25293242,293242,3242,42
